x, y, ksi, T
#iter= 1
1.15 0.25 -0.0982408 0.797467 
1.2 0.25 -0.119865 0.767448 
1.25 0.25 -0.136901 0.734093 
1.3 0.25 -0.148818 0.699143 
1.35 0.25 -0.155296 0.664048 
1.4 0.25 -0.156205 0.629966 
1.45 0.25 -0.151591 0.597807 
1.5 0.25 -0.141667 0.568304 
1.55 0.25 -0.126801 0.542081 
1.6 0.25 -0.107511 0.519687 
1.65 0.25 -0.0844598 0.501615 
1.7 0.25 -0.0584418 0.488294 
1.75 0.25 -0.0303622 0.480063 
1.8 0.25 -0.00120809 0.477144 
1.85 0.25 0.0279891 0.479617 
1.9 0.25 0.0561963 0.487414 
1.95 0.25 0.0824211 0.500323 
2 0.25 0.10575 0.518015 
2.05 0.25 0.12538 0.540067 
2.1 0.25 0.140635 0.565992 
2.15 0.25 0.150986 0.595243 
2.2 0.25 0.156052 0.627206 
2.25 0.25 0.155607 0.661159 
2.3 0.25 0.14959 0.696209 
2.35 0.25 0.138116 0.731224 
2.4 0.25 0.12149 0.764776 
2.45 0.25 0.100222 0.795149 
2.5 0.25 0.0750332 0.820436 
2.55 0.25 0.0468497 0.838761 
2.6 0.25 0.0167675 0.848585 
2.65 0.25 -0.014 0.849017 
2.7 0.25 -0.0441953 0.840016 
2.75 0.25 -0.0725977 0.822403 
2.8 0.25 -0.0980977 0.79767 
2.85 0.25 -0.119753 0.767676 
2.9 0.25 -0.136824 0.734336 
2.95 0.25 -0.148779 0.69939 
3 0.25 -0.155297 0.664292 
3.05 0.25 -0.156246 0.6302 
3.1 0.25 -0.151673 0.598024 
3.15 0.25 -0.141787 0.5685 
3.2 0.25 -0.126955 0.542251 
3.25 0.25 -0.107696 0.519826 
3.3 0.25 -0.0846701 0.50172 
3.35 0.25 -0.0586708 0.488361 
3.4 0.25 -0.0306025 0.480088 
3.45 0.25 -0.0014516 0.477126 
3.5 0.25 0.0277508 0.479555 
3.55 0.25 0.0559717 0.487308 
3.6 0.25 0.0822182 0.500176 
3.65 0.25 0.105577 0.517829 
3.7 0.25 0.125242 0.539845 
3.75 0.25 0.140539 0.565737 
3.8 0.25 0.150936 0.59496 
3.85 0.25 0.156051 0.626901 
3.9 0.25 0.155658 0.660839 
3.95 0.25 0.149694 0.695883 
4 0.25 0.138273 0.730904 
4.05 0.25 0.121696 0.76448 
4.1 0.25 0.100474 0.794897 
4.15 0.25 0.0753254 0.820252 
4.2 0.25 0.0471732 0.838668 
4.25 0.25 0.0171122 0.848603 
4.3 0.25 -0.0136455 0.84916 
4.35 0.25 -0.0438432 0.84029 
4.4 0.25 -0.0722604 0.822804 
4.45 0.25 -0.0977874 0.798188 
4.5 0.25 -0.119482 0.768297 
4.55 0.25 -0.136604 0.735043 
4.6 0.25 -0.148625 0.700165 
4.65 0.25 -0.155224 0.665118 
4.7 0.25 -0.156273 0.631055 
4.75 0.25 -0.151821 0.598885 
4.8 0.25 -0.142077 0.569332 
4.85 0.25 -0.1274 0.543011 
4.9 0.25 -0.108281 0.520464 
4.95 0.25 -0.0853293 0.502193 
5 0.25 -0.059236 0.48868 
0 0.3 -0.105581 0.439049 
0.05 0.3 -0.0733276 0.423589 
0.1 0.3 -0.0383358 0.413916 
0.15 0.3 -0.00192432 0.410399 
